archivo,antes_bytes,despues_bytes
counts/v1a/finest/province_key=23/data_0.parquet,208766,0
counts/v1a/finest/province_key=24/data_0.parquet,229012,0
counts/v1a/nacion/data.parquet,9815,8037
counts/v1a/parroquia/data.parquet,110001,108758
counts/v1a/provincia/data.parquet,16267,12995
counts/v1a/qa.json,1659,6494
counts/v1a/schema.json,2048,12783
counts/v1a/sector/01.parquet,0,137605
counts/v1a/sector/02.parquet,0,47513
counts/v1a/sector/03.parquet,0,56663
counts/v1a/sector/04.parquet,0,38687
counts/v1a/sector/05.parquet,0,87688
counts/v1a/sector/06.parquet,0,95663
counts/v1a/sector/07.parquet,0,98036
counts/v1a/sector/08.parquet,0,82870
counts/v1a/sector/09.parquet,0,431299
counts/v1a/sector/10.parquet,0,71917
counts/v1a/sector/11.parquet,0,88344
counts/v1a/sector/12.parquet,0,112115
counts/v1a/sector/13.parquet,0,193195
counts/v1a/sector/14.parquet,0,49847
counts/v1a/sector/15.parquet,0,33776
counts/v1a/sector/16.parquet,0,32284
counts/v1a/sector/17.parquet,0,347481
counts/v1a/sector/18.parquet,0,97343
counts/v1a/sector/19.parquet,0,34663
counts/v1a/sector/20.parquet,0,19281
counts/v1a/sector/21.parquet,0,43614
counts/v1a/sector/22.parquet,0,40212
counts/v1a/sector/23.parquet,0,68364
counts/v1a/sector/24.parquet,0,56862
counts/v1a/sector/province_key=01/data_0.parquet,146834,0
counts/v1a/sector/province_key=02/data_0.parquet,51158,0
counts/v1a/sector/province_key=03/data_0.parquet,59820,0
counts/v1a/sector/province_key=04/data_0.parquet,41445,0
counts/v1a/sector/province_key=05/data_0.parquet,94468,0
counts/v1a/sector/province_key=06/data_0.parquet,101385,0
counts/v1a/sector/province_key=07/data_0.parquet,104717,0
counts/v1a/sector/province_key=08/data_0.parquet,90024,0
counts/v1a/sector/province_key=09/data_0.parquet,444504,0
counts/v1a/sector/province_key=10/data_0.parquet,77862,0
counts/v1a/sector/province_key=11/data_0.parquet,95879,0
counts/v1a/sector/province_key=12/data_0.parquet,121214,0
counts/v1a/sector/province_key=13/data_0.parquet,202109,0
counts/v1a/sector/province_key=14/data_0.parquet,53898,0
counts/v1a/sector/province_key=15/data_0.parquet,36773,0
counts/v1a/sector/province_key=16/data_0.parquet,35179,0
counts/v1a/sector/province_key=17/data_0.parquet,362584,0
counts/v1a/sector/province_key=18/data_0.parquet,104106,0
counts/v1a/sector/province_key=19/data_0.parquet,37205,0
counts/v1a/sector/province_key=20/data_0.parquet,20850,0
counts/v1a/sector/province_key=21/data_0.parquet,46059,0
counts/v1a/sector/province_key=22/data_0.parquet,43209,0
counts/v1a/sector/province_key=23/data_0.parquet,74110,0
counts/v1a/sector/province_key=24/data_0.parquet,61141,0
fase0_qa.json,6334,6334
TOTAL,470499294,136088722
