clave_manzana,clave_sector,poblacion
111350001002016,111350001002,9
111350001002017,111350001002,16
111350001002018,111350001002,8
111350001002019,111350001002,0
111350001002020,111350001002,0
111350001002022,111350001002,10
111350001002023,111350001002,3
111452001001014,111452001001,9
111452001001015,111452001001,32
120150024002007,120150024002,55
120150024002008,120150024002,68
120153932002007,120153932002,13
120153932002008,120153932002,18
120153932002009,120153932002,5
120350002002011,120350002002,15
120350002002012,120350002002,25
120350002005008,120350002005,8
120350002005009,120350002005,26
120350002006008,120350002006,2
120350002006009,120350002006,2
120550011003037,120550011003,13
120550012012012,120550012012,31
120550021001005,120550021001,34
120550028006010,120550028006,28
120550028006011,120550028006,36
120550028006012,120550028006,32
120553002002011,120553002002,28
120750003011001,120750003011,130
120750003011002,120750003011,89
120750003011003,120750003011,23
120750003012001,120750003012,34
120750003012002,120750003012,125
120750003012003,120750003012,29
120750004013001,120750004013,0
120750004013002,120750004013,0
120750004013004,120750004013,0
120750004013005,120750004013,0
120750004013006,120750004013,0
120750004013007,120750004013,0
120750004013008,120750004013,0
120750004013009,120750004013,0
120750004013010,120750004013,0
120750007001008,120750007001,44
120750007001011,120750007001,9
120750007001012,120750007001,0
120750007001013,120750007001,14
120750007001015,120750007001,0
120750007001017,120750007001,0
120750007001018,120750007001,0
120750007001019,120750007001,0
120750007001020,120750007001,9
120750007001021,120750007001,8
120750007001022,120750007001,0
120750007001023,120750007001,4
120750007001025,120750007001,8
120750007001026,120750007001,13
120750007001027,120750007001,4
120750007001028,120750007001,7
120750007001029,120750007001,19
120750007001030,120750007001,0
120750007001036,120750007001,0
120750007001037,120750007001,0
120750010011001,120750010011,91
120750010011002,120750010011,31
120750010011003,120750010011,67
120750010011004,120750010011,55
120750010011005,120750010011,56
120750010011006,120750010011,48
120750010012001,120750010012,37
120750010012002,120750010012,110
120750010012003,120750010012,63
120750010012004,120750010012,30
120750010012005,120750010012,31
121050005010020,121050005010,4
121050005010021,121050005010,0
121050008012018,121050008012,0
121050008012025,121050008012,0
121050008012028,121050008012,0
121051002001006,121051002001,19
121051002001007,121051002001,25
121051002001008,121051002001,12
121051002001009,121051002001,0
121051002001010,121051002001,24
121051002001012,121051002001,19
121051002001013,121051002001,0
121051002001014,121051002001,3
121051002001015,121051002001,2
121051002001016,121051002001,0
121051002001017,121051002001,0
121051002008013,121051002008,15
121051002008014,121051002008,10
121051002008015,121051002008,11
121051002008016,121051002008,8
121150001013025,121150001013,15
121150001014001,121150001014,67
121150001014002,121150001014,23
121150001014004,121150001014,2
121150001014005,121150001014,20
121150001014006,121150001014,10
121150001014007,121150001014,18
121150001014008,121150001014,9
121150001014009,121150001014,98
121150001014010,121150001014,68
121150001014012,121150001014,18
121150001014013,121150001014,10
